"LEM_ADAMSS"

"Time      "	".JOINT_38.Element_Force.X"	".JOINT_38.Element_Force.Y"
1.290000e+00	-3.570038e+02	6.241873e+02
1.300000e+00	-3.606612e+02	6.327666e+02
1.310000e+00	-3.749808e+02	6.292038e+02
1.320000e+00	-3.597168e+02	6.274434e+02
1.329148e+00	-3.638910e+02	6.358792e+02
1.330000e+00	-3.669648e+02	6.313451e+02
1.340000e+00	-3.716508e+02	6.322538e+02
1.350000e+00	-3.817435e+02	6.376751e+02
1.354251e+00	-3.679731e+02	6.410558e+02
1.360000e+00	-3.744699e+02	6.404941e+02
1.370000e+00	-3.730402e+02	6.367157e+02
1.380000e+00	-3.839973e+02	6.473898e+02
1.389117e+00	-3.824327e+02	6.444980e+02
1.390000e+00	-3.825008e+02	6.433311e+02
1.400000e+00	-3.913103e+02	6.471039e+02
1.407039e+00	-3.992155e+02	6.440065e+02
1.410000e+00	-3.918616e+02	6.481247e+02
1.420000e+00	-3.857192e+02	6.491501e+02
1.426007e+00	-3.525691e+02	6.480538e+02
1.430000e+00	-3.713683e+02	6.503873e+02
1.439248e+00	-4.045707e+02	6.600315e+02
1.440000e+00	-4.036075e+02	6.552629e+02
1.447945e+00	-4.117733e+02	6.532282e+02
1.450000e+00	-4.069042e+02	6.551618e+02
1.459220e+00	-4.134998e+02	6.520372e+02
1.460000e+00	-4.145006e+02	6.583000e+02
1.467209e+00	-4.056941e+02	6.574475e+02
1.470000e+00	-4.116385e+02	6.599029e+02
1.478862e+00	-4.059299e+02	6.566041e+02
1.480000e+00	-4.157685e+02	6.615305e+02
1.490000e+00	-3.928551e+02	6.644818e+02
1.492596e+00	-4.398258e+02	6.634496e+02
1.496415e+00	-4.232220e+02	6.640684e+02
1.500000e+00	-4.030079e+02	6.595466e+02
1.508848e+00	-4.160362e+02	6.662749e+02
1.510000e+00	-4.206835e+02	6.662295e+02
1.520000e+00	-4.183779e+02	6.726419e+02
1.527629e+00	-4.194626e+02	6.679786e+02
1.530000e+00	-4.319473e+02	6.698257e+02
1.540000e+00	-4.274114e+02	6.757748e+02
1.548807e+00	-4.306888e+02	6.744118e+02
1.550000e+00	-4.323715e+02	6.743702e+02
1.560000e+00	-4.345111e+02	6.745399e+02
1.569137e+00	-4.218407e+02	6.799489e+02
1.570000e+00	-4.265687e+02	6.769803e+02
1.577819e+00	-4.422459e+02	6.754558e+02
1.580000e+00	-4.433607e+02	6.805711e+02
1.588994e+00	-4.393567e+02	6.869099e+02
1.590000e+00	-4.337944e+02	6.844664e+02
1.595725e+00	-4.378246e+02	6.813326e+02
1.600000e+00	-4.483051e+02	6.815609e+02
1.610000e+00	-4.502631e+02	6.879579e+02
1.620000e+00	-4.518851e+02	6.869586e+02
1.630000e+00	-4.416759e+02	6.887397e+02
1.634246e+00	-4.485637e+02	6.895105e+02
1.639227e+00	-4.661017e+02	6.895783e+02
1.640000e+00	-4.642954e+02	6.936401e+02
1.647673e+00	-4.515580e+02	6.966289e+02
1.650000e+00	-4.480364e+02	6.941580e+02
1.660000e+00	-4.746413e+02	6.944749e+02
1.670000e+00	-4.601299e+02	6.936772e+02
1.680000e+00	-4.676527e+02	7.001343e+02
1.687840e+00	-4.666047e+02	7.069617e+02
1.690000e+00	-4.695246e+02	7.010226e+02
1.697234e+00	-4.760652e+02	6.969641e+02
1.700000e+00	-4.781364e+02	7.029575e+02
1.710000e+00	-4.819450e+02	6.998296e+02
1.714859e+00	-4.504570e+02	7.100032e+02
1.720000e+00	-4.745950e+02	7.055812e+02
1.728890e+00	-4.798582e+02	7.060781e+02
1.730000e+00	-4.835276e+02	7.105199e+02
1.738009e+00	-4.615455e+02	7.134079e+02
1.740000e+00	-4.773854e+02	7.104401e+02
1.750000e+00	-4.820960e+02	7.170789e+02
1.760000e+00	-5.002132e+02	7.165159e+02
1.768858e+00	-4.804183e+02	7.176288e+02
1.770000e+00	-4.762635e+02	7.175844e+02
1.775001e+00	-4.860195e+02	7.169072e+02
1.780000e+00	-4.969056e+02	7.206347e+02
1.783865e+00	-4.851899e+02	7.249424e+02
1.790000e+00	-4.939527e+02	7.159849e+02
1.800000e+00	-5.027949e+02	7.211384e+02
1.808723e+00	-4.955239e+02	7.215868e+02
1.810000e+00	-5.088423e+02	7.247676e+02
1.820000e+00	-4.966161e+02	7.249438e+02
1.824038e+00	-4.958652e+02	7.242571e+02
1.830000e+00	-5.073374e+02	7.274802e+02
1.837781e+00	-5.028965e+02	7.356675e+02
1.840000e+00	-5.145059e+02	7.298434e+02
1.845604e+00	-5.122929e+02	7.273012e+02
1.850000e+00	-5.104356e+02	7.325721e+02
1.860000e+00	-5.164375e+02	7.271136e+02
1.870000e+00	-5.236535e+02	7.314855e+02
1.880000e+00	-4.987427e+02	7.406357e+02
