"LEM_ADAMSS"

"Time      "	".rama_wahacz_L.Element_Force.X"	".rama_wahacz_L.Element_Force.Y"	".link_wahacz.Element_Force.X"	".link_wahacz.Element_Force.Y"	".kolo_tyl_wahacz.Element_Force.X"	".kolo_tyl_wahacz.Element_Force.Y"
1.335000e+00	-6.948872e+02	-4.662191e+01	1.300843e+03	4.380986e+02	-8.819651e+01	3.924679e+02
1.350000e+00	-6.437557e+02	-5.463755e+01	1.318419e+03	4.438572e+02	3.197366e+01	3.797413e+02
1.365000e+00	-6.570239e+02	-4.857266e+01	1.291380e+03	4.346861e+02	-2.076628e+01	3.767205e+02
1.380000e+00	-6.362174e+02	-5.548047e+01	1.311785e+03	4.416756e+02	4.006437e+01	3.776711e+02
1.395000e+00	-6.443382e+02	-5.514418e+01	1.323687e+03	4.456123e+02	3.606643e+01	3.807449e+02
1.410000e+00	-6.621958e+02	-4.745331e+01	1.285103e+03	4.326120e+02	-3.753068e+01	3.776483e+02
1.425000e+00	-6.440721e+02	-5.452861e+01	1.315750e+03	4.429866e+02	2.853891e+01	3.798286e+02
1.440000e+00	-6.612401e+02	-4.807991e+01	1.292497e+03	4.350634e+02	-2.805210e+01	3.779754e+02
1.455000e+00	-6.331987e+02	-5.691618e+01	1.316340e+03	4.432375e+02	5.033090e+01	3.785309e+02
1.470000e+00	-6.620460e+02	-4.898210e+01	1.297209e+03	4.366941e+02	-2.523955e+01	3.798343e+02
1.482112e+00	-6.388293e+02	-5.549827e+01	1.306572e+03	4.399815e+02	2.905759e+01	3.793322e+02
1.485000e+00	-6.471653e+02	-5.203659e+01	1.301753e+03	4.382345e+02	8.694076e+00	3.774875e+02
1.500000e+00	-6.591315e+02	-4.917670e+01	1.296733e+03	4.365246e+02	-1.980879e+01	3.786969e+02
1.515000e+00	-6.455201e+02	-5.411098e+01	1.314034e+03	4.424037e+02	2.395724e+01	3.798861e+02
1.519436e+00	-6.613320e+02	-4.891719e+01	1.304626e+03	4.391175e+02	-1.581598e+01	3.790001e+02
1.530000e+00	-6.596131e+02	-4.898950e+01	1.296815e+03	4.365322e+02	-2.061415e+01	3.786040e+02
1.543478e+00	-6.647018e+02	-4.795352e+01	1.301165e+03	4.379407e+02	-2.592361e+01	3.791326e+02
1.545000e+00	-6.409952e+02	-5.385402e+01	1.308037e+03	4.403748e+02	2.711596e+01	3.773392e+02
1.560000e+00	-6.339004e+02	-5.628149e+01	1.313879e+03	4.423860e+02	4.662615e+01	3.778464e+02
1.575000e+00	-6.672833e+02	-4.824538e+01	1.299699e+03	4.375032e+02	-3.303758e+01	3.811058e+02
1.588473e+00	-6.643587e+02	-4.800244e+01	1.300767e+03	4.378041e+02	-2.566283e+01	3.790587e+02
1.590000e+00	-6.409321e+02	-5.387273e+01	1.307986e+03	4.403528e+02	2.718052e+01	3.773419e+02
1.605000e+00	-6.324762e+02	-5.671824e+01	1.314842e+03	4.427150e+02	5.035012e+01	3.778636e+02
1.620000e+00	-6.771217e+02	-4.434878e+01	1.294181e+03	4.354939e+02	-5.704136e+01	3.793264e+02
1.635000e+00	-6.562603e+02	-4.885139e+01	1.289033e+03	4.339453e+02	-2.184376e+01	3.769403e+02
1.650000e+00	-6.410675e+02	-5.641400e+01	1.323628e+03	4.456608e+02	4.204848e+01	3.813699e+02
1.665000e+00	-6.614533e+02	-4.874830e+01	1.302269e+03	4.383325e+02	-1.847090e+01	3.788492e+02
1.678708e+00	-6.667139e+02	-4.744172e+01	1.303147e+03	4.385641e+02	-2.768939e+01	3.791503e+02
1.680000e+00	-6.477375e+02	-5.206395e+01	1.302426e+03	4.384702e+02	8.188216e+00	3.778341e+02
1.695000e+00	-6.423928e+02	-5.537665e+01	1.318185e+03	4.438288e+02	3.412124e+01	3.803949e+02
1.707302e+00	-6.929385e+02	-4.193382e+01	1.299481e+03	4.372540e+02	-8.277964e+01	3.828383e+02
1.710000e+00	-6.649284e+02	-4.957971e+01	1.306361e+03	4.397734e+02	-2.183260e+01	3.820141e+02
1.725000e+00	-6.495194e+02	-5.188889e+01	1.300770e+03	4.379317e+02	2.842383e+00	3.784916e+02
1.740000e+00	-6.543430e+02	-5.033747e+01	1.300294e+03	4.377167e+02	-6.756065e+00	3.781667e+02
1.755000e+00	-6.825731e+02	-4.207315e+01	1.292045e+03	4.346903e+02	-6.928420e+01	3.780782e+02
1.763251e+00	-6.430910e+02	-5.358951e+01	1.301732e+03	4.383019e+02	1.620990e+01	3.782270e+02
1.770000e+00	-6.602263e+02	-4.771266e+01	1.281231e+03	4.313724e+02	-3.770306e+01	3.772584e+02
1.780870e+00	-6.420830e+02	-5.532135e+01	1.309850e+03	4.410908e+02	2.587522e+01	3.805840e+02
1.785000e+00	-6.531573e+02	-5.088561e+01	1.300843e+03	4.379230e+02	-4.035468e+00	3.785342e+02
1.800000e+00	-6.440033e+02	-5.444368e+01	1.317463e+03	4.435375e+02	3.055788e+01	3.795567e+02
1.815000e+00	-6.625296e+02	-5.109155e+01	1.304887e+03	4.393714e+02	-1.932282e+01	3.836184e+02
1.825432e+00	-6.686948e+02	-4.770570e+01	1.302969e+03	4.385724e+02	-3.212853e+01	3.806441e+02
1.830000e+00	-6.508775e+02	-5.232632e+01	1.309775e+03	4.409407e+02	9.347867e+00	3.796000e+02
1.837540e+00	-6.467209e+02	-5.386532e+01	1.301665e+03	4.383268e+02	8.423767e+00	3.806455e+02
1.845000e+00	-6.364366e+02	-5.661007e+01	1.326125e+03	4.464351e+02	5.421455e+01	3.791978e+02
1.860000e+00	-6.826545e+02	-4.135989e+01	1.283899e+03	4.319826e+02	-7.768904e+01	3.771616e+02
1.867271e+00	-7.084320e+02	-3.841520e+01	1.305409e+03	4.390930e+02	-1.065410e+02	3.841413e+02
1.875000e+00	-6.501411e+02	-5.141290e+01	1.300605e+03	4.378522e+02	1.666077e+00	3.779376e+02
1.890000e+00	-6.554256e+02	-4.920046e+01	1.292684e+03	4.351539e+02	-1.643377e+01	3.769885e+02
1.905000e+00	-6.278406e+02	-5.980091e+01	1.322569e+03	4.454463e+02	6.640130e+01	3.807267e+02
1.909625e+00	-6.689792e+02	-4.726246e+01	1.301430e+03	4.380277e+02	-3.413162e+01	3.801048e+02
1.920000e+00	-6.610983e+02	-4.778146e+01	1.290794e+03	4.344792e+02	-2.939116e+01	3.774260e+02
1.935000e+00	-7.310420e+02	-3.351559e+01	1.276824e+03	4.295658e+02	-1.810793e+02	3.882793e+02
1.950000e+00	-6.472891e+02	-5.768393e+01	1.299487e+03	4.379429e+02	2.793728e+00	3.878542e+02
1.954369e+00	-6.978842e+02	-4.887032e+01	1.311256e+03	4.417148e+02	-8.457618e+01	3.975473e+02
1.960383e+00	-6.130952e+02	-5.386645e+01	1.302792e+03	4.383177e+02	7.946404e+01	3.630820e+02
1.965000e+00	-6.543417e+02	-5.057336e+01	1.305686e+03	4.394999e+02	-1.130684e+00	3.783222e+02
1.980000e+00	-6.587471e+02	-4.950749e+01	1.299020e+03	4.372908e+02	-1.677453e+01	3.790051e+02
1.993168e+00	-6.606608e+02	-4.955798e+01	1.308488e+03	4.404236e+02	-1.068595e+01	3.796464e+02
1.995000e+00	-6.556159e+02	-5.122852e+01	1.308390e+03	4.404571e+02	-1.319391e+00	3.801173e+02
2.010000e+00	-6.590147e+02	-4.788145e+01	1.286798e+03	4.331597e+02	-2.937232e+01	3.766992e+02
2.025000e+00	-6.439213e+02	-5.464373e+01	1.316178e+03	4.431280e+02	2.923791e+01	3.799435e+02
2.029272e+00	-6.635289e+02	-4.883123e+01	1.306704e+03	4.398117e+02	-1.811581e+01	3.798907e+02
2.040000e+00	-6.615389e+02	-4.831386e+01	1.294517e+03	4.357418e+02	-2.666161e+01	3.784706e+02
2.049466e+00	-6.693530e+02	-4.689230e+01	1.306988e+03	4.397952e+02	-2.876862e+01	3.793580e+02
2.055000e+00	-6.488858e+02	-5.163210e+01	1.302425e+03	4.384461e+02	6.081712e+00	3.776008e+02
2.070000e+00	-7.033191e+02	-4.651990e+01	1.304291e+03	4.393124e+02	-1.019923e+02	3.965345e+02
2.075443e+00	-5.429806e+02	-6.470507e+01	1.313835e+03	4.419562e+02	2.304717e+02	3.458813e+02
2.085000e+00	-6.388630e+02	-5.468043e+01	1.276220e+03	4.300033e+02	-2.950258e+00	3.793940e+02
2.088882e+00	-6.520406e+02	-5.152733e+01	1.310276e+03	4.410595e+02	7.938174e+00	3.787149e+02
2.100000e+00	-6.510163e+02	-4.961406e+01	1.292586e+03	4.350969e+02	-7.621533e+00	3.754491e+02
2.115000e+00	-6.462376e+02	-5.262629e+01	1.305275e+03	4.394236e+02	1.402040e+01	3.779290e+02
2.130000e+00	-6.413466e+02	-5.595567e+01	1.323149e+03	4.454741e+02	4.123258e+01	3.806919e+02
2.145000e+00	-6.655949e+02	-4.773185e+01	1.293785e+03	4.355233e+02	-3.552262e+01	3.795539e+02
