"LEM_ADAMSS"

"Time      "	".tyl_kolo.Element_Force.X"	".tyl_kolo.Element_Force.Y"
1.632932e+00	1.182614e+00	-1.881567e+02
1.640000e+00	-1.159769e+00	-1.893569e+02
1.646615e+00	-1.819757e+00	-1.898141e+02
1.650000e+00	1.375593e+00	-1.880415e+02
1.654006e+00	-3.640693e+00	-1.893215e+02
1.660000e+00	-1.161156e+00	-1.895181e+02
1.663976e+00	1.755020e-01	-1.888822e+02
1.670000e+00	-9.543810e-01	-1.892560e+02
1.675920e+00	2.530245e-01	-1.893317e+02
1.679474e+00	-7.405737e-01	-1.894040e+02
1.680000e+00	-1.452639e-01	-1.890500e+02
1.689109e+00	1.017339e+00	-1.884491e+02
1.690000e+00	-7.678346e-01	-1.893340e+02
1.698489e+00	-1.295163e+00	-1.891121e+02
1.700000e+00	1.441464e-01	-1.885100e+02
1.710000e+00	-9.400422e-01	-1.895122e+02
1.717760e+00	-1.239941e+00	-1.891563e+02
1.720000e+00	1.030472e-01	-1.886267e+02
1.730000e+00	1.260646e+00	-1.883196e+02
1.733133e+00	-2.191616e+00	-1.898446e+02
1.738386e+00	1.321636e+00	-1.882113e+02
1.740000e+00	6.677116e-01	-1.883177e+02
1.745316e+00	-9.095063e-01	-1.888370e+02
1.750000e+00	7.239511e-01	-1.877099e+02
1.759593e+00	-3.181651e-01	-1.890929e+02
1.760000e+00	-6.088618e-02	-1.888931e+02
1.770000e+00	-4.786281e-01	-1.888381e+02
1.773438e+00	8.058516e-01	-1.886280e+02
1.780000e+00	1.851299e+00	-1.876977e+02
1.782753e+00	-5.118200e-01	-1.886514e+02
1.788846e+00	1.207212e+00	-1.880781e+02
1.790000e+00	1.725889e-01	-1.885072e+02
1.797335e+00	-1.023974e+00	-1.891332e+02
1.800000e+00	5.141715e-01	-1.883838e+02
1.809215e+00	2.987756e-02	-1.886015e+02
1.810000e+00	8.270938e-02	-1.885674e+02
1.818542e+00	1.493346e+00	-1.881376e+02
1.820000e+00	7.244804e-01	-1.881000e+02
1.830000e+00	-1.069653e+00	-1.892151e+02
1.833158e+00	1.727155e+00	-1.876042e+02
1.840000e+00	1.062933e+00	-1.884135e+02
1.850000e+00	-1.582401e+00	-1.897911e+02
1.860000e+00	4.124657e-01	-1.882594e+02
1.870000e+00	9.689532e-02	-1.888885e+02
1.880000e+00	7.681948e-01	-1.888435e+02
1.887180e+00	-1.482813e+00	-1.897465e+02
1.890000e+00	1.970377e-01	-1.888667e+02
1.895425e+00	1.306232e+00	-1.882678e+02
1.900000e+00	-4.874372e-01	-1.892144e+02
1.905208e+00	-8.263244e-01	-1.890899e+02
1.910000e+00	1.653837e-01	-1.886897e+02
1.916879e+00	-1.355684e+00	-1.894323e+02
1.920000e+00	1.659033e+00	-1.876382e+02
1.924848e+00	2.151862e+00	-1.865026e+02
1.928823e+00	-2.461631e-02	-1.882980e+02
1.930000e+00	5.478283e-01	-1.885177e+02
1.932938e+00	1.439089e+00	-1.884086e+02
1.940000e+00	-2.098093e+00	-1.897611e+02
1.945964e+00	-1.578090e+00	-1.890997e+02
1.950000e+00	9.727785e-03	-1.885909e+02
1.958080e+00	1.360116e+00	-1.882414e+02
1.960000e+00	1.753373e+00	-1.880296e+02
1.970000e+00	3.581687e-01	-1.881491e+02
1.975012e+00	1.844387e+00	-1.879235e+02
1.980000e+00	1.104536e+00	-1.874219e+02
1.990000e+00	-2.673441e-01	-1.887771e+02
1.999101e+00	-1.204156e+00	-1.895132e+02
2.000000e+00	5.107359e-01	-1.884704e+02
2.006561e+00	-9.405839e-01	-1.890012e+02
2.010000e+00	-2.507126e-01	-1.887449e+02
2.018263e+00	1.351493e+00	-1.876362e+02
2.020000e+00	3.351650e-01	-1.882964e+02
2.026147e+00	1.209161e+00	-1.880082e+02
2.030000e+00	7.194197e-01	-1.885265e+02
2.033442e+00	-1.264767e+00	-1.891865e+02
2.040000e+00	-1.169090e-01	-1.890775e+02
2.050000e+00	1.242700e+00	-1.880028e+02
2.053238e+00	-1.665577e+00	-1.890953e+02
2.060000e+00	3.347412e-01	-1.885513e+02
2.065200e+00	1.170122e+00	-1.881384e+02
2.070000e+00	-9.745317e-01	-1.897259e+02
2.073530e+00	1.348648e+00	-1.882794e+02
2.080000e+00	1.908286e+00	-1.876103e+02
2.090000e+00	-5.888246e-02	-1.884370e+02
2.093890e+00	1.069923e+00	-1.892137e+02
2.100000e+00	-7.001823e-01	-1.893070e+02
2.103234e+00	6.283603e-01	-1.888073e+02
2.108756e+00	-1.497719e+00	-1.890210e+02
2.110000e+00	3.022226e-02	-1.886535e+02
2.118422e+00	-7.808554e-01	-1.888278e+02
2.120000e+00	-2.558318e-01	-1.885323e+02
2.129077e+00	-1.442519e+00	-1.893167e+02
2.130000e+00	8.021310e-01	-1.879917e+02
2.134712e+00	1.144095e+00	-1.878724e+02
2.140000e+00	-1.704768e+00	-1.896249e+02
2.142932e+00	1.235760e+00	-1.881442e+02
2.150000e+00	-9.906188e-01	-1.889629e+02
2.155557e+00	1.189010e+00	-1.879845e+02
2.160000e+00	1.553858e-01	-1.889465e+02
2.167368e+00	-1.126662e+00	-1.890674e+02
2.170000e+00	5.268477e-01	-1.882304e+02
2.179233e+00	6.625118e-02	-1.885156e+02
2.180000e+00	6.915923e-02	-1.885139e+02
2.190000e+00	-9.834172e-01	-1.893749e+02
2.198683e+00	-6.087272e-01	-1.884679e+02
2.200000e+00	1.392333e+00	-1.880116e+02
2.210000e+00	-5.621735e-02	-1.886050e+02
2.213911e+00	9.133928e-01	-1.890688e+02
2.220000e+00	1.006375e+00	-1.875622e+02
2.226634e+00	1.270189e+00	-1.880769e+02
2.230000e+00	3.168017e-01	-1.885427e+02
2.235369e+00	1.360536e+00	-1.882106e+02
2.240000e+00	-1.195790e+00	-1.894866e+02
2.250000e+00	-2.449994e-01	-1.890410e+02
2.253910e+00	2.637207e+00	-1.870233e+02
2.258405e+00	5.883065e-01	-1.882558e+02
2.260000e+00	-1.301300e+00	-1.887380e+02
2.270000e+00	-2.434589e-01	-1.886233e+02
2.275894e+00	1.262175e+00	-1.882093e+02
2.280000e+00	1.289339e+00	-1.882699e+02
2.283152e+00	-1.536049e+00	-1.892903e+02
2.290000e+00	1.732459e-01	-1.887450e+02
2.294216e+00	-1.154039e-01	-1.881190e+02
2.299445e+00	1.297091e+00	-1.877253e+02
2.300000e+00	5.102522e-01	-1.883297e+02
2.306149e+00	1.207652e+00	-1.882513e+02
2.310000e+00	7.494786e-01	-1.886670e+02
2.313385e+00	-1.192847e+00	-1.892313e+02
2.320000e+00	1.996441e-01	-1.889112e+02
2.326445e+00	-8.807125e-01	-1.891848e+02
2.330000e+00	-3.078082e-01	-1.888630e+02
2.339055e+00	-5.931013e-01	-1.887743e+02
2.340000e+00	6.960819e-01	-1.880377e+02
2.344983e+00	1.087870e+00	-1.881260e+02
2.350000e+00	-1.203705e+00	-1.897924e+02
2.355310e+00	6.175455e-01	-1.885230e+02
2.360000e+00	1.063192e+00	-1.884003e+02
2.370000e+00	8.184872e-01	-1.882472e+02
2.380000e+00	-2.044682e-01	-1.884051e+02
2.385449e+00	4.736019e-01	-1.876055e+02
2.390000e+00	-7.617703e-01	-1.898389e+02
2.393691e+00	1.370850e+00	-1.883839e+02
2.400000e+00	1.182096e+00	-1.883367e+02
2.410000e+00	-1.426735e+00	-1.898028e+02
2.420000e+00	4.339057e-01	-1.882544e+02
2.430000e+00	1.232647e-01	-1.888424e+02
2.440000e+00	7.369812e-01	-1.889294e+02
2.450000e+00	-8.785566e-01	-1.885690e+02
2.452808e+00	1.116616e+00	-1.882575e+02
2.460000e+00	-1.236170e+00	-1.895102e+02
2.470000e+00	3.811902e-01	-1.891984e+02
2.473190e+00	-1.218393e+00	-1.891199e+02
2.479092e+00	-9.566465e-01	-1.891932e+02
2.480000e+00	5.622918e-01	-1.883141e+02
2.486937e+00	-1.344909e+00	-1.891117e+02
2.490000e+00	2.402356e+00	-1.868404e+02
2.498237e+00	1.341283e+00	-1.878116e+02
2.500000e+00	3.525142e-01	-1.884722e+02
2.508165e+00	1.735840e+00	-1.876763e+02
2.510000e+00	5.637209e-01	-1.884327e+02
2.517477e+00	2.190592e+00	-1.873748e+02
2.520000e+00	8.193957e-02	-1.887711e+02
2.529364e+00	5.414760e-01	-1.885279e+02
2.530000e+00	-1.485053e-02	-1.888906e+02
2.536611e+00	1.617687e+00	-1.877422e+02
2.540000e+00	6.358413e-01	-1.885719e+02
2.545457e+00	-7.447439e-01	-1.889847e+02
2.550000e+00	-1.746370e+00	-1.894041e+02
2.558020e+00	-1.682227e+00	-1.897228e+02
2.560000e+00	-8.854910e-01	-1.893672e+02
2.566524e+00	-1.583216e+00	-1.896671e+02
2.570000e+00	4.281461e-01	-1.888173e+02
2.580000e+00	-5.208325e-01	-1.884804e+02
2.583202e+00	1.319289e+00	-1.881678e+02
2.589293e+00	1.054097e+00	-1.874577e+02
2.590000e+00	1.326168e+00	-1.873012e+02
2.593237e+00	-7.164143e-01	-1.887454e+02
2.600000e+00	6.275442e-01	-1.882230e+02
2.605926e+00	-6.858332e-01	-1.888750e+02
2.610000e+00	-8.083343e-01	-1.891643e+02
2.612832e+00	6.283461e-01	-1.886580e+02
2.619239e+00	5.911344e-01	-1.884619e+02
2.620000e+00	-3.487373e-01	-1.889961e+02
2.630000e+00	9.782291e-01	-1.883007e+02
2.640000e+00	2.324023e-01	-1.883563e+02
2.650000e+00	3.327142e-01	-1.883895e+02
2.658958e+00	1.257242e+00	-1.880110e+02
2.660000e+00	-2.830691e-03	-1.885222e+02
2.670000e+00	-1.420319e-03	-1.886087e+02
2.678291e+00	1.171150e+00	-1.883274e+02
2.680000e+00	5.360985e-01	-1.886018e+02
2.688348e+00	9.965622e-01	-1.880232e+02
2.690000e+00	1.672845e-01	-1.885602e+02
2.697097e+00	1.496479e+00	-1.882260e+02
2.700000e+00	-2.250474e+00	-1.901735e+02
2.705312e+00	1.380176e+00	-1.881998e+02
2.710000e+00	-7.349228e-01	-1.891508e+02
2.714591e+00	-7.930846e-01	-1.890359e+02
2.720000e+00	1.082802e+00	-1.880940e+02
2.724316e+00	2.255057e+00	-1.869429e+02
2.727113e+00	-1.165238e-01	-1.884013e+02
2.730000e+00	1.924402e-01	-1.885893e+02
2.735100e+00	1.132211e+00	-1.880524e+02
2.740000e+00	-1.048334e+00	-1.897368e+02
2.743469e+00	1.235579e+00	-1.883709e+02
2.750000e+00	2.051559e-01	-1.882717e+02
2.760000e+00	-1.255273e+00	-1.893102e+02
2.770000e+00	5.616356e-01	-1.880217e+02
2.776143e+00	1.041799e+00	-1.882280e+02
2.780000e+00	5.889797e-01	-1.885741e+02
2.783119e+00	-6.726271e-01	-1.888199e+02
2.790000e+00	7.122354e-01	-1.880883e+02
2.793585e+00	-1.143256e+00	-1.887704e+02
2.800000e+00	-1.945504e+00	-1.896955e+02
2.804788e+00	-1.217782e+00	-1.889085e+02
2.810000e+00	-4.881099e-01	-1.885962e+02
2.813018e+00	1.232682e+00	-1.883471e+02
2.819071e+00	1.425728e+00	-1.879828e+02
2.820000e+00	-6.596694e-01	-1.891925e+02
2.826116e+00	1.142384e+00	-1.882893e+02
2.830000e+00	7.475885e-01	-1.885607e+02
2.833450e+00	-1.328373e+00	-1.892446e+02
2.840000e+00	-1.843423e+00	-1.899941e+02
2.845943e+00	-5.936213e-01	-1.888127e+02
2.850000e+00	1.060434e+00	-1.884310e+02
2.860000e+00	8.024115e-01	-1.883478e+02
2.868634e+00	1.101740e+00	-1.882030e+02
2.870000e+00	3.202738e-01	-1.886000e+02
2.878179e+00	1.277833e+00	-1.882720e+02
2.880000e+00	7.944043e-01	-1.884918e+02
2.885561e+00	-1.439981e+00	-1.889420e+02
2.889212e+00	-1.876249e-01	-1.886743e+02
2.890000e+00	1.708263e-01	-1.885409e+02
2.899338e+00	1.494350e+00	-1.878934e+02
2.900000e+00	-8.600685e-01	-1.894372e+02
2.903614e+00	1.577113e+00	-1.882083e+02
2.910000e+00	4.840906e-01	-1.882724e+02
2.920000e+00	8.575366e-01	-1.881997e+02
2.923351e+00	-6.134961e-01	-1.885805e+02
2.928647e+00	1.336830e+00	-1.882400e+02
2.930000e+00	4.337456e-01	-1.884060e+02
